INTERMARCAS S.A;;;;;
LISTA DE PRODUCTOS Y PRECIOS AUTORIZADOS;;;;;
;;;;;
;;;;;
REFERENCIA;NOMBRE REFERENCIA;24 DE NOVIEMBRE;INVENTARIO A LA FECHA;TIPO;
;;PRECIO DE VENTA;;;
011044-10412; ALASKA BLACK/GREY/WHITE ;29.900;77;PROMOCION;
011044-14804; ALASKA GREY/GREEN LIME/BLACK/WHIT ;29.900;47;PROMOCION;
011044-12004; ALASKA GREY/YELLOW/BLACK/WHITE ;29.900;200;PROMOCION;
012840-1041811;ALVES BLACK/RED/WHITE/GRAY;35.900;88;PROMOCION;
012840-1122011;ALVES GRAY/YELLOW/BLACK/WHITE;35.900;341;PROMOCION;
012840-1021611;ALVES WHITE/GREEN/BLACK;35.900;441;PROMOCION;
012840-1021811;ALVES WHITE/RED/BLACK;35.900;492;PROMOCION;
012848-3021811;ALVES JR GRAY/YELLOW/BLACK/WHITE;34.900;190;PROMOCION;
012848-3022011;ALVES JR WHITE/BLACK/GREEN;34.900;284;PROMOCION;
013878-1021012;ANDREW BLANCO/CAFE OSCURO/OCRE/NE;54.900;207;LINEA;
013878-1025212;ANDREW BLANCO/VERDE OSCURO/VERDE;54.900;37;LINEA;
013878-1100812;ANDREW CAFE OSCURO/GEIGE/ROJO;54.900;603;LINEA;
013878-1040212;ANDREW NEGRO/BLANCO/GRIS;54.900;293;LINEA;
013833-10420;ARIZONA BLACK/YELLOW/GRAY;39.900;28;PROMOCION;
013833-11020;ARIZONA BROWN/YELLOW/COPPER  ;39.900;7;PROMOCION;
011036-2023212;ASHLEY BLANCO/PURPURA/NEGRO  ;39.900;382;PROMOCION;
011036-2124012 ;ASHLEY GRIS/FUCSIA/BLANCO ;39.900;431;PROMOCION;
011036-2044012 ;ASHLEY NEGRO/FUCSIA/BLANCO ;39.900;525;PROMOCION;
011036-2125012;ASHLEY PLATA/LILA/BLANCO;39.900;506;PROMOCION;
013802-11636;AZTEKA WHITE/GREEN/KAKY;15.000;12;PROMOCION;
013858-1041211;BANZAI BLACK/GRAY/WHITE;39.900;200;PROMOCION;
013858-1044811;BANZAI BLACK/LIME/GRAY/WHITE;39.900;607;PROMOCION;
013858-1100811;BANZAI DK BROWN/KAKI/LT BEIGE/BEI;39.900;386;PROMOCION;
013858-1121811;BANZAI GRAY/LT GRAY/RED/BLACK/WHI;39.900;429;PROMOCION;
013873-24048;BARCELONA WHITE/BLACK/FUCHSIA/LIM;29.900;145;PROMOCION;
011084-1045612;BAXTER BLACK/RED/GRAY/WHITE;39.900;556;PROMOCION;
